Branch Name;Date;Opening cash at hand
Ntinda;12.08.2021;2200
Masaka;30.08.2021;0
Nyendo;30.08.2021;0
Kinoni;30.08.2021;0
Kasese1;02.09.2021;0
Bundibugyo;02.09.2021;0
Bugiri;02.09.2021;0
Buwama;02.09.2021;0
Namutumba;02.09.2021;0
Kyotera;13.09.2021;74100
Nakulabye;07.03.2022;138800
Mityana;10.03.2022;0
Lyantonde;10.03.2022;0
Mubende;10.03.2022;0
Bwera;10.03.2022;0
Rwimi;10.03.2022;0
Kyenjojo;10.03.2022;0
Kasangati;14.03.2022;0
Kibuli;21.03.2022;32000
Kansanga;28.03.2022;0
Kasese 1;28.03.2022;228000
Nateete;28.03.2022;143200
Kyotera;04.04.2022;70500
Kyengera;04.04.2022;34700
Matugga;04.04.2022;0
Buwama;04.04.2022;394000
Bundibugyo;04.04.2022;38500
Mbarara 1;07.04.2022;0
Kabwohe;07.04.2022;0
Ishaka;07.04.2022;0
Ibanda;07.04.2022;0
Tororo 1;07.04.2022;0
Tororo 2;07.04.2022;0
Wakiso;05.04.2022;122000
Bulenga;05.04.2022;69800
Fort Portal 1;05.04.2022;61000
Kasese 2;19.04.2022;107600
Mukono;19.04.2022;0
Kayunga;19.04.2022;0
Jinja 1;25.04.2022;0
Jinja 2;25.04.2022;330900
Iganga 1;03.05.2022;0
Iganga 2;03.05.2022;10500
Fort Portal 2;03.05.2022;273500
Mbale 1;09.05.2022;30800
Mbale 2;09.05.2022;33100
